0,IUPAC_name,official_name,aliases,designated_date_ja,pubchem_cid,inchi_key,effective_date,gazette_date,source_link
63,2-(echiruamineo)-2-(chiofen- 2-iru)shikurohekisanon 類,チレタミン (Tiletamine),,平成29年2月24日,,,,,
64,2-(echiruamineo)-2-(3-hidoroki shiphenyl)shikurohekisanon,HXE; Hydroxetamine,,令和6年1月19日,,,,,
65,2-(echiruamineo)-2-phenylshiku rohekisanon,Deschloro-N-ethyl- ketamine;  Eticyclidone;  O-PCE;  2-Oxo-PCE,,平成30年8月22日,,,,,
66,2-(echiruamineo)-2-(2-furuoro phenyl)shikurohekisanon 類,2F-NENDCK;  2-fluoro-2-oxo-PCE,,令和7年1月27日,,,,,
67,2-(echiruamineo)-2-(3-furuoro phenyl)shikurohekisanon 類,FXE;  Fluorexetamine,,令和5年8月31日,,,,,
68,2-(echiruamineo)-2-(3-mechiru phenyl)shikurohekisanon 類,DMXE;  Deoxymethoxetamine;  3’-methyl-2-oxo-PCE;  3D-MXE,,令和4年6月28日,,,,,
69,N-echiru-N-isopropyl-5-me tokishitoriputamine,5-MeO-EIPT,,平成20年12月17日,,,,,
70,"N-echiru-1,2-jiphenylechiru amine",Ephenidine;  EPE;  NEDPA,,平成28年11月1日,,,,,
71,"echiru=3,3-jimechiru-2-(1-pe nchiru-1H-indazo-ru-3-karu bokisamido)butanoa-to",EDMB-PINACA,,令和6年1月19日,,,,,
72,"2-(4-echiru-2,5-jimethoxyfe niru)etanamine",2C-E,,平成19年2月28日,,,,,
73,"2-(4-echiru-2,5-jimethoxyfe niru)-N-(2-methoxybenzylu)e tanamine",25E-NBOMe,,平成27年5月22日,,,,,
74,"2-[(4-echiru-2,5-jimethoxy fenechiruamineo)mechiru]feno-ru及 びその salts",25E-NBOH,,平成30年12月19日,,,,,
75,"1-(4-echirusurufaniru-2,5- jimethoxyphenyl)puropan-2-ami n",ALEPH-2,,平成20年12月17日,,,,,
76,N-echiru-4-hidorokishi-N-puro pirutoriputamine,4-HO-EPT,,令和6年1月19日,,,,,
77,N-echiru-4-hidorokishi-N-mechi rutoriputamine,4-OH-MET,,平成27年3月25日,,,,,
78,echiru=1-(1-phenylechiru)-1 H-imidazo-ru-5-karubokishira- to,エトミデート(Etomidate),,令和7年5月16日,,,,,
79,1-(4-echiruphenyl)-N-(2-me tokishibenzylu)puropan-2-amine及 びその salts,4-EA-NBOMe,,平成29年12月19日,,,,,
80,echiru=2-(4-furuorophenyl)- 2-(piperijin-2-iru)asete-to,4-Fluoroethylphenidate,,令和3年3月15日,,,,,
81,N-echiru-1-(2-furuorofeni ru)puropan-2-amine,2-FEA;  2-fluoroethamphetamine,,平成31年2月19日,,,,,
82,N-echiru-1-(3-furuorofeni ru)puropan-2-amine,3-FEA;  3-fluoroethamphetamine,,平成30年11月14日,,,,,
83,N-echiru-1-(4-furuorofeni ru)puropan-2-amine,4-FEA;  4-fluoroethamphetamine,,平成30年11月14日,,,,,
84,3-echiru-2-(3-furuorofeni ru)moruforin,3F-Phenetrazine;  3-FPE,,平成29年8月29日,,,,,
85,echiru=2-[1-(4-furuorobenji ru)-1H-indazo-ru-3-karubo kisamido]-3-mechirubutanoa-to及び その salts,EMB-FUBINACA;  FUB-AEB,,平成28年8月24日,,,,,
86,"echiru=2-[1-(5-furuoropenchi ru)-1H-indazo-ru-3-karubo kisamido]-3,3-jimechirubutanoa-to",5F-EDMB-PINACA,,令和3年1月22日,,,,,
87,echiru=2-[1-(5-furuoropenchi ru)-1H-indazo-ru-3-karubo kisamido]-3-mechirubutanoa-to及び その salts,5F-AEB,,平成28年6月22日,,,,,
88,"echiru=2-[1-(5-furuoropenchi ru)-1H-indo-ru-3-karuboki samido]-3,3-jimechirubutanoa-to及 びその salts",5F-EDMB-PICA,,令和4年3月7日,,,,,
89,echiru=2-[1-(5-furuoropenchi ru) -1H-indo-ru-3-karuboki samido]-3-mechirubutanoa-to及びそ の salts,5F-EMB-PICA;  EMB-2201,,令和3年8月25日,,,,,
90,3-{2-[echiru(puropiru)amineo]echi ru}-1H-indo-ru-4-iru=a sete-to,4-AcO-EPT,,令和3年3月15日,,,,,
91,N-echiru-N-mechirutoriputamine及び その salts,MET;  Methyl ethyl tryptamine,,令和5年3月10日,,,,,
92,N-echiru-N-[2-(5-methoxy- 1H-indo-ru-3-iru)echiru]pu ropan-1-amine,5-MeO-EPT,,平成23年4月14日,,,,,
93,N-echiru-1-(3-methoxyfeni ru)shikurohekisan-1-amine及びそ の salts,3-MeO-PCE,,令和元年6月13日,,,,,
94,N-echiru-1-(4-methoxyfeni ru)puropan-2-amine,PMEA,,平成26年9月19日,,,,,
95,"2-(4-etokishi-3,5-jimethoxy phenyl)etanamine",Escaline,,平成28年12月21日,,,,,
96,"1-(4-etokishi-3,5-jimethoxy phenyl)puropan-2-amine及びそ の salts",3C-E,,平成27年3月25日,,,,,
97,2-(4-etokishibenzylu)-1-(e chiruamineo)echiru-5-nitorobenzui midazo-ru,N-Desethyl Etonitazene,,令和7年7月3日,,,,,
98,2-(4-etokishibenzylu)-1-(2- jiechiruamineo)echiru-5-mechiruben zuimidazo-ru,5-Methyl etodesnitazene Etomethazene,,令和7年10月29日,,,,,
99,"2-(1-okiso-1-phenylpuropan -2-iru)isoindorin-1,3-ji on",Phthalimidopropiophenone,,平成26年9月19日,,,,,
100,kinorin-8-iru=1-(shikurohekishi rumechiru)-1H-indo-ru-3-ka rubokishira-to,QUCHIC;  BB-22,,平成25年10月21日,,,,,
101,"kinorin-8-iru=3-[(4,4-jifu ruoropiperijin-1-iru)suruhoni ru]-4-mechirubenzoa-to",2F-QMPSB,,令和3年10月21日,,,,,
102,kinorin-8-iru=1-(4-furuoro benzylu)-1H-indazo-ru-3- karubokishira-to,FUB-NPB-22,,平成27年2月18日,,,,,
103,kinorin-8-iru=1-(4-furuoro benzylu)-1H-indo-ru-3-ka rubokishira-to,FUB-PB-22,,平成26年6月11日,,,,,
104,kinorin-8-iru=1-(5-furuoro penchiru)-1H-indazo-ru-3- karubokishira-to,5-Fluoro-NPB-22,,平成26年8月15日,,,,,
105,kinorin-8-iru=1-penchiru-1 H-indazo-ru-3-karubokishira- to,NPB-22,,平成30年12月19日,,,,,
106,kinorin-8-iru=1-penchiru(1H -indo-ru)-3-karubokishira-to,QUPIC;  PB-22,,平成25年4月30日,,,,,
107,5-kuroro-3-echiru-N-[4-(pi perijin-1-iru)fenechiru]-1H -indo-ru-2-karubokisamido及び その salts,Org27569,,平成27年3月25日,,,,,
108,"2-(4-kuroro-2,5-jimethoxyfe niru)etanamine",2C-C,,平成19年2月28日,,,,,
109,"2-(4-kuroro-2,5-jimethoxyfe niru)-N-(3,4,5-torimethoxybe njiru)etanamine",30C-NBOMe,,平成27年5月22日,,,,,
110,"2-(4-kuroro-2,5-jimethoxyfe niru)-N-(2-furuorobenzylu)e tanamine",25C-NBF,,平成26年9月19日,,,,,
